% Model:              Beam.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 14 2025, 10:50
% Dimension:          2
% Nodes:              1000
% Expressions:        5
% Description: Displacement magnitude, Rotation field, Z component, Bending moment, local z direction, Shear force, local y direction, Normal strain at the first calculation point
% Length unit:        m
% X                       Y                        beam.disp (m)            thz (rad)                beam.Mzl (N*m)           beam.Tyl (N)             beam.e_1 (1)
5.0E-4                    0                        3.890557690402765E-9     1.5555982784385275E-5    129.4769904392294        624.7977225916896        7.768619426353762E-4
0.0015                    0                        3.495878741859188E-8     4.655548476308932E-5     128.8521927166377        624.7977225916896        7.73113156299826E-4
0.0025                    0                        9.69515433987741E-8      7.740503528837135E-5     128.22739499404605       624.7977225916896        7.69364369964276E-4
0.0035                    0                        1.8971887417752744E-7    1.081046343602314E-4     127.60259727145433       624.7977225916896        7.656155836287258E-4
0.0045                    0                        3.1311082830142945E-7    1.3865428197866944E-4    126.97779954886265       624.7977225916896        7.618667972931757E-4
0.0055                    0                        4.669774543170587E-7     1.6905397814368547E-4    126.35300182627094       624.7977225916896        7.581180109576254E-4
0.0065                    0                        6.51168800770993E-7      1.9930372285527947E-4    125.72820410367926       624.7977225916896        7.543692246220753E-4
0.0075                    0                        8.655349162098103E-7     2.2940351611345144E-4    125.10340638108755       624.7977225916896        7.506204382865251E-4
0.0085                    0                        1.1099258491800885E-6    2.593533579182015E-4     124.47860865849583       624.7977225916896        7.468716519509748E-4
0.0095                    0                        1.384191648228406E-6     2.891532482695295E-4     123.85381093590415       624.7977225916896        7.431228656154247E-4
0.0105                    0                        1.6881824119013405E-6    3.188034871674355E-4     123.23401321331227       614.7977225918016        7.394040792798734E-4
0.0115                    0                        2.0217493887454695E-6    3.483058746119194E-4     122.61921549072058       614.7977225918016        7.357152929443234E-4
0.0125                    0                        2.3847449773073715E-6    3.7766071060298134E-4    122.00441776812865       614.7977225918016        7.320265066087716E-4
0.0135                    0                        2.7770216261336247E-6    4.0686799514062116E-4    121.3896200455369        614.7977225918016        7.283377202732212E-4
0.0145                    0                        3.198431783770807E-6     4.35927728224839E-4      120.7748223229451        614.7977225918016        7.246489339376704E-4
0.0155                    0                        3.6488278987654945E-6    4.6483990985563483E-4    120.16002460035332       614.7977225918016        7.209601476021199E-4
0.0165                    0                        4.128062419664269E-6     4.936045400330085E-4     119.54522687776154       614.7977225918016        7.17271361266569E-4
0.0175                    0                        4.635987795013707E-6     5.222216187569603E-4     118.93042915516985       614.7977225918016        7.13582574931019E-4
0.0185                    0                        5.172456473360382E-6     5.506911460274901E-4     118.31563143257799       614.7977225918016        7.098937885954678E-4
0.0195                    0                        5.737320903250878E-6     5.790131218445977E-4     117.70083370998624       614.7977225918016        7.062050022599173E-4
0.0205                    0                        6.330433583231769E-6     6.071878462082832E-4     117.0910359873935        604.7977225917954        7.025462159243608E-4
0.0215                    0                        6.951648161849636E-6     6.352171191185465E-4     116.4862382648014        604.7977225917954        6.989174295888083E-4
0.0225                    0                        7.600819437651056E-6     6.63101240575388E-4      115.88144054220969       604.7977225917954        6.95288643253258E-4
0.0235                    0                        8.277802259182605E-6     6.90840210578807E-4      115.27664281961779       604.7977225917954        6.916598569177066E-4
0.0245                    0                        8.982451474990864E-6     7.184340291288044E-4     114.67184509702594       604.7977225917954        6.880310705821555E-4
0.0255                    0                        9.714621933622406E-6     7.458826962253799E-4     114.0670473744342        604.7977225917954        6.844022842466051E-4
0.0265                    0                        1.0474168483623815E-5    7.731862118685328E-4     113.46224965184234       604.7977225917954        6.807734979110539E-4
0.0275                    0                        1.1260945973541666E-5    8.003445760582638E-4     112.8574519292503        604.7977225917954        6.771447115755017E-4
0.0285                    0                        1.2074809251922536E-5    8.27357788794573E-4      112.2526542066585        604.7977225917954        6.735159252399509E-4
0.0295                    0                        1.2915613167313003E-5    8.5422585007746E-4       111.64785648406648       604.7977225917954        6.698871389043987E-4
0.0305                    0                        1.3783212618259646E-5    8.809490599069247E-4     111.04805876147286       594.7977225915226        6.66288352568837E-4
0.0315                    0                        1.4677463653309047E-5    9.075292182829675E-4     110.45326103888175       594.7977225915226        6.627195662332903E-4
0.0325                    0                        1.5598223471007773E-5    9.339666252055877E-4     109.8584633162902        594.7977225915226        6.591507798977411E-4
0.0335                    0                        1.6545349319902416E-5    9.602612806747864E-4     109.26366559369855       594.7977225915226        6.555819935621911E-4
0.0345                    0                        1.751869844853954E-5     9.864131846905632E-4     108.66886787110697       594.7977225915226        6.520132072266417E-4
0.0355                    0                        1.8518128105465727E-5    0.0010124223372529177    108.07407014851574       594.7977225915226        6.484444208910943E-4
