% Model:              Ellipse3.mph
% Version:            COMSOL 6.3.0.290
% Date:               Oct 26 2025, 11:01
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description: Displacement field, X component, Displacement field, Y component, Strain tensor, XX component, Strain tensor, YY component, Strain tensor, XY component
% Length unit:        m
% X                       Y                        u (m)                    v (m)                    solid.eXX (1)            solid.eYY (1)            solid.eXY (1)
-1                        1                        -0.003                   -9.0E-4                  0.003021713438483037     -9.655407741554836E-4    0
-1                        0.98                     -0.0030000000000000005   -8.806896747467822E-4    0.003021579250604358     -9.654709689405835E-4    1.2284453361951128E-8
-0.98                     1                        -0.002939565204515531    -9.000000000000001E-4    0.0030217881034667513    -9.655329142774874E-4    9.382161444739431E-9
-1                        0.96                     -0.0030000000000000005   -8.613833493721761E-4    0.003021068764090279     -9.651729518482602E-4    1.1465202016947007E-8
-0.98                     0.98                     -0.0029395685968637516   -8.806904068472468E-4    0.003021618138096325     -9.654364152447206E-4    1.483325678894772E-7
-0.96                     1                        -0.0028791288691466677   -9.000000000000001E-4    0.00302190043154979      -9.654337863896171E-4    1.0971137780665016E-8
-1                        0.94                     -0.0030000000000000005   -8.420849799139664E-4    0.003020215711479581     -9.646750291995553E-4    1.1640235469956295E-8
-0.98                     0.96                     -0.0029395787992294244   -8.613847443719936E-4    0.003021109077915534     -9.651407150072627E-4    2.8657174895990273E-7
-0.96                     0.98                     -0.00287913566233353     -8.806924135765841E-4    0.0030217316805525355    -9.65336888425482E-4     2.824595239040578E-7
-0.94                     1                        -0.002818689577784249    -9.000000000000001E-4    0.0030220846761600992    -9.652619604628548E-4    1.0923972360947035E-8
-1                        0.9199999999999999       -0.0030000000000000005   -8.227985975171188E-4    0.003019017510590527     -9.639734801367659E-4    1.1996228056060376E-8
-0.98                     0.94                     -0.0029395958462119683   -8.420869932434977E-4    0.003020258124781549     -9.646451681670255E-4    4.2763694661195523E-7
-0.96                     0.96                     -0.002879156022373217    -8.613887172560982E-4    0.0030212257571911086    -9.650448334002788E-4    5.572088913064396E-7
-0.94                     0.98                     -0.002818699727962768    -8.80695837553867E-4     0.0030219181328140824    -9.651674333344233E-4    4.1354418634301227E-7
-0.9199999999999999       1                        -0.0027582459212643056   -9.000000000000001E-4    0.0030223362897452235    -9.650143602171595E-4    1.0494291587346641E-8
